SeriesDescription,GeoAreaName,Education level,Nature,Sex,Units,TimePeriod,Value,Cluster
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2007,0.0,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2007,0.93485,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2007,0.4512,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2007,0.31453,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2007,1.0,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2007,0.45621,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2007,1.02196,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2007,0.33879,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2007,1.12015,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2007,1.6163,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2007,0.95721,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2007,0.92694,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2007,0.46988,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2007,1.00212,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2007,0.0,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2007,0.0,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2007,0.69231,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2007,0.79421,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2007,0.0,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2008,0.80063,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2008,0.8058,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2008,0.95938,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2008,0.71341,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2008,0.96412,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2008,0.72351,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2008,0.50056,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2008,1.01258,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2008,0.68069,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2013,0.29275,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2013,0.52998,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2013,0.585,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2013,0.0,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2013,1.04734,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2013,0.41094,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2013,0.75589,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2013,1.34351,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2013,0.0,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2013,1.0,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2013,0.87214,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2013,0.88141,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2013,0.79724,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2013,0.84025,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2013,0.16067,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2013,0.92983,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2013,1.00904,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2013,0.37174,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2013,0.49634,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2013,0.84133,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2013,0.0,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2013,0.79094,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2013,0.29292,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2013,0.34683,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2013,1.18406,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2013,0.86036,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2013,0.3079,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2013,0.56869,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2013,0.80041,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2013,0.45723,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2013,1.45078,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2013,0.33192,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2013,0.55481,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2013,0.849,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2013,0.76914,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2013,0.63095,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2013,0.58032,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2013,0.77602,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2013,0.7853,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2013,0.55061,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2013,0.23389,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2013,0.79855,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2013,0.25292,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2013,0.48453,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2013,0.26571,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2013,0.89917,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2013,0.93405,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2013,0.76551,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2013,0.0,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2013,0.26734,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2013,0.29781,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2013,0.68535,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2013,0.99636,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2013,0.94261,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2016,0.95037,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2016,0.39214,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2016,0.75332,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2016,0.68547,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2016,0.58195,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2016,0.52078,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2016,0.25642,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2016,0.66713,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2016,0.4492,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2019,0.86134,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2019,1.41836,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2019,0.69452,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2019,1.60704,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2019,0.32694,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2019,0.88989,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2019,0.95324,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2019,1.03326,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2019,1.45203,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2019,1.00013,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2019,0.94703,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2019,0.96881,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2019,0.0,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2019,0.0,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2019,1.2573,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2019,0.63615,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2019,1.03628,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2019,1.01881,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2019,0.95939,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2019,0.97123,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2019,1.07343,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2019,0.95176,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2019,0.0,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2019,0.0,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2019,0.8366,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2019,0.65611,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2019,0.31218,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2019,0.15643,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2019,0.0,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2019,1.45811,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2019,1.06347,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2019,1.41322,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2019,0.96161,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2019,0.31282,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2019,1.43206,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2019,0.0,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2019,1.12374,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2019,1.16775,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2019,0.952,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2019,0.0,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2019,0.53549,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,UPPSEC,C,BOTHSEX,Ratio,2019,0.44555,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2019,1.08455,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2019,0.93967,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2019,0.0,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2019,0.86268,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2019,1.20984,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2019,1.1444,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,PRIMAR,C,BOTHSEX,Ratio,2019,1.35657,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2019,1.00992,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2019,1.15824,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2019,1.15835,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Liberia,LOWSEC,C,BOTHSEX,Ratio,2019,1.16909,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,PRIMAR,C,BOTHSEX,Ratio,2006,0.8388,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,LOWSEC,C,BOTHSEX,Ratio,2006,0.77071,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,UPPSEC,C,BOTHSEX,Ratio,2006,0.95269,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,UPPSEC,C,BOTHSEX,Ratio,2007,0.0718,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,UPPSEC,C,BOTHSEX,Ratio,2007,0.55627,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,UPPSEC,C,BOTHSEX,Ratio,2007,1.21943,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,UPPSEC,C,BOTHSEX,Ratio,2007,0.70096,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,LOWSEC,C,BOTHSEX,Ratio,2007,0.54216,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,LOWSEC,C,BOTHSEX,Ratio,2007,0.21673,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,LOWSEC,C,BOTHSEX,Ratio,2007,0.99234,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,LOWSEC,C,BOTHSEX,Ratio,2007,1.01146,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,LOWSEC,C,BOTHSEX,Ratio,2007,0.33931,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,LOWSEC,C,BOTHSEX,Ratio,2007,0.12289,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,LOWSEC,C,BOTHSEX,Ratio,2007,0.5946,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,LOWSEC,C,BOTHSEX,Ratio,2007,0.99872,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,PRIMAR,C,BOTHSEX,Ratio,2007,0.56796,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,PRIMAR,C,BOTHSEX,Ratio,2007,0.77983,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,PRIMAR,C,BOTHSEX,Ratio,2007,1.15443,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,PRIMAR,C,BOTHSEX,Ratio,2007,1.03007,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,UPPSEC,C,BOTHSEX,Ratio,2007,0.52916,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,UPPSEC,C,BOTHSEX,Ratio,2007,0.67129,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,PRIMAR,C,BOTHSEX,Ratio,2007,0.40606,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,PRIMAR,C,BOTHSEX,Ratio,2007,0.55006,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,UPPSEC,C,BOTHSEX,Ratio,2007,0.95266,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,UPPSEC,C,BOTHSEX,Ratio,2007,0.75684,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,LOWSEC,C,BOTHSEX,Ratio,2007,1.02589,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,UPPSEC,C,BOTHSEX,Ratio,2007,1.15596,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,UPPSEC,C,BOTHSEX,Ratio,2007,0.13562,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,UPPSEC,C,BOTHSEX,Ratio,2007,0.12698,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,UPPSEC,C,BOTHSEX,Ratio,2007,1.07166,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,UPPSEC,C,BOTHSEX,Ratio,2007,1.15851,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,LOWSEC,C,BOTHSEX,Ratio,2007,0.77068,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,LOWSEC,C,BOTHSEX,Ratio,2007,0.12894,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,LOWSEC,C,BOTHSEX,Ratio,2007,0.91929,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,LOWSEC,C,BOTHSEX,Ratio,2007,0.36759,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,LOWSEC,C,BOTHSEX,Ratio,2007,0.8421,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,PRIMAR,C,BOTHSEX,Ratio,2007,1.05145,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,LOWSEC,C,BOTHSEX,Ratio,2007,0.68715,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,LOWSEC,C,BOTHSEX,Ratio,2007,0.86871,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,PRIMAR,C,BOTHSEX,Ratio,2007,0.71715,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,PRIMAR,C,BOTHSEX,Ratio,2007,0.83882,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,PRIMAR,C,BOTHSEX,Ratio,2007,0.43374,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,PRIMAR,C,BOTHSEX,Ratio,2007,0.76894,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,LOWSEC,C,BOTHSEX,Ratio,2007,0.59592,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,PRIMAR,C,BOTHSEX,Ratio,2007,0.79913,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,PRIMAR,C,BOTHSEX,Ratio,2007,1.01872,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,PRIMAR,C,BOTHSEX,Ratio,2007,1.12661,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,PRIMAR,C,BOTHSEX,Ratio,2007,0.88132,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,UPPSEC,C,BOTHSEX,Ratio,2007,1.02861,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,UPPSEC,C,BOTHSEX,Ratio,2007,0.60351,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,UPPSEC,C,BOTHSEX,Ratio,2007,1.15662,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,UPPSEC,C,BOTHSEX,Ratio,2007,0.0,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,UPPSEC,C,BOTHSEX,Ratio,2007,0.13784,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,PRIMAR,C,BOTHSEX,Ratio,2007,0.99118,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,PRIMAR,C,BOTHSEX,Ratio,2007,1.01768,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,PRIMAR,C,BOTHSEX,Ratio,2007,1.01895,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,LOWSEC,C,BOTHSEX,Ratio,2007,0.99527,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,LOWSEC,C,BOTHSEX,Ratio,2012,1.08426,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,PRIMAR,C,BOTHSEX,Ratio,2012,1.0536,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,PRIMAR,C,BOTHSEX,Ratio,2012,1.08792,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,PRIMAR,C,BOTHSEX,Ratio,2012,0.95208,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,UPPSEC,C,BOTHSEX,Ratio,2012,1.0836,2
"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Pakistan,UPPSEC,C,BOTHSEX,Ratio,2012,0.15828,2
